Time [s];Movement [mm]
11.599499702;-51.220409393
11.649499893;-51.220409393
11.699500084;-51.220409393
11.749500275;-51.220409393
11.799500465;-51.220409393
11.849499702;-51.220409393
11.899499893;-51.220409393
11.949500084;-51.220409393
11.999500275;-51.220409393
12.049500465;-51.220409393
12.099499702;-51.220409393
12.149499893;-51.220409393
12.199500084;-51.220409393
12.249500275;-51.220409393
12.299500465;-51.220409393
12.349499702;-51.220409393
12.399499893;-51.220409393
12.449500084;-51.220409393
12.499500275;-51.220409393
12.549500465;-51.220409393
12.599499702;-51.220409393
12.649499893;-51.220409393
12.699500084;-51.220409393
12.749500275;-51.220409393
12.799500465;-51.220409393
12.849499702;-51.220409393
12.899499893;-51.220409393
12.949500084;-51.220409393
12.999500275;-51.220409393
13.049500465;-51.220409393
13.099499702;-51.220409393
13.149499893;-51.220409393
13.199500084;-51.220409393
13.249500275;-51.220409393
13.299500465;-51.220409393
13.349499702;-51.220409393
13.399499893;-51.220409393
13.449500084;-51.220409393
13.499500275;-51.220409393
13.549500465;-51.220409393
13.599499702;-51.220409393
13.649499893;-51.220409393
13.699500084;-51.220409393
13.749500275;-51.220409393
13.799500465;-51.220409393
13.849499702;-51.220409393
13.899499893;-51.220409393
13.949500084;-51.220409393
13.999500275;-51.220409393
14.049500465;-51.220409393
14.099499702;-51.220409393
14.149499893;-51.220409393
14.199500084;-51.220409393
14.249500275;-51.220409393
14.299500465;-51.220409393
14.349499702;-51.220409393
14.399499893;-51.220409393
14.449500084;-51.220409393
14.499500275;-51.220409393
14.549500465;-51.220409393
14.599499702;-51.220409393
14.649499893;-51.220409393
14.699500084;-51.220409393
14.749500275;-51.220409393
14.799500465;-51.220409393
14.849499702;-51.220409393
14.899499893;-51.220409393
14.949500084;-51.220409393
14.999500275;-51.220409393
15.049500465;-51.220409393
15.099499702;-51.220409393
15.149499893;-51.220409393
15.199500084;-51.220409393
15.249500275;-51.220409393
15.299500465;-51.220409393
15.349499702;-51.220409393
15.399499893;-51.220409393
15.449500084;-51.220409393
15.499500275;-51.220409393
15.549500465;-51.220409393
15.599499702;-51.220409393
15.649499893;-51.220409393
15.699500084;-51.220409393
15.749500275;-51.220409393
15.799500465;-51.220409393
15.849499702;-51.220409393
15.899499893;-51.220409393
15.949500084;-51.220409393
15.999500275;-51.220409393
16.049499512;-51.220409393
16.099500656;-51.220409393
16.149499893;-51.220409393
16.19949913;-51.220409393
16.249500275;-51.220409393
16.299499512;-51.220409393
16.349500656;-51.220409393
16.399499893;-51.220409393
16.44949913;-51.220409393
16.499500275;-51.220409393
16.549499512;-51.220409393
16.599500656;-51.220409393
16.649499893;-51.220409393
16.69949913;-51.220409393
16.749500275;-51.220409393
16.799499512;-51.220409393
16.849500656;-51.220409393
16.899499893;-51.220409393
16.94949913;-51.220409393
16.999500275;-51.220409393
17.049499512;-51.220409393
17.099500656;-51.220409393
17.149499893;-51.220409393
17.19949913;-51.220409393
17.249500275;-51.220409393
17.299499512;-51.220409393
17.349500656;-51.220409393
17.399499893;-51.220409393
17.44949913;-51.220409393
17.499500275;-51.220409393
17.549499512;-51.220409393
17.599500656;-51.220409393
17.649499893;-51.220409393
17.69949913;-51.220409393
17.749500275;-51.220409393
17.799499512;-51.220409393
17.849500656;-51.220409393
17.899499893;-51.220409393
17.94949913;-51.220409393
17.999500275;-51.220409393
18.049499512;-51.220409393
18.099500656;-51.220409393
18.149499893;-51.220409393
18.19949913;-51.220409393
18.249500275;-51.220409393
18.299499512;-51.220409393
18.349500656;-51.220409393
18.399499893;-51.220409393
18.44949913;-51.220409393
18.499500275;-51.220409393
18.549499512;-51.220409393
18.599500656;-51.220409393
18.649499893;-51.220409393
18.69949913;-51.220409393
18.749500275;-51.220409393
18.799499512;-51.220409393
18.849500656;-51.220409393
18.899499893;-51.220409393
18.94949913;-51.220409393
18.999500275;-51.220409393
19.049499512;-51.220409393
19.099500656;-51.220409393
19.149499893;-51.220409393
19.19949913;-51.220409393
19.249500275;-51.220409393
19.299499512;-51.220409393
19.349500656;-51.220409393
19.399999619;-51.220409393
19.450000763;-51.220409393
19.5;-51.220409393
19.549999237;-51.220409393
19.600000381;-51.220409393
19.649999619;-51.220409393
19.700000763;-51.220409393
19.75;-51.220409393
19.799999237;-51.220409393
19.850000381;-51.220409393
19.899999619;-51.220409393
19.950000763;-51.220409393
20.0;-51.220409393
20.049999237;-51.220409393
20.100000381;-51.220409393
20.149999619;-51.220409393
20.200000763;-51.220409393
20.25;-51.220409393
20.299999237;-51.220409393
20.350000381;-51.220409393
20.399999619;-51.220409393
20.450000763;-51.220409393
20.5;-51.220409393
20.549999237;-51.220409393
20.600000381;-51.220409393
20.649999619;-51.220409393
20.700000763;-51.220409393
20.75;-51.220409393
20.799999237;-51.220409393
20.850000381;-51.220409393
20.899999619;-51.220409393
20.950000763;-51.220409393
21.0;-51.220409393
21.049999237;-51.220409393
21.100000381;-51.220409393
21.149999619;-51.220409393
21.200000763;-51.220409393
21.25;-51.220409393
21.299999237;-51.220409393
21.350000381;-51.220409393
21.399999619;-51.220409393
21.450000763;-51.220409393
21.5;-51.220409393
21.549999237;-51.220409393
21.600000381;-51.220409393
21.649999619;-51.220409393
21.700000763;-51.220409393
21.75;-51.220409393
21.799999237;-51.220409393
21.850000381;-51.220409393
21.899999619;-51.220409393
21.950000763;-51.220409393
22.0;-51.220409393
22.049999237;-51.220409393
22.100000381;-51.220409393
22.149999619;-51.220409393
22.200000763;-51.220409393
22.25;-51.220409393
22.299999237;-51.220409393
22.350000381;-51.220409393
22.399999619;-51.220409393
22.450000763;-51.220409393
22.5;-51.220409393
22.549999237;-51.220409393
22.600000381;-51.220409393
22.649999619;-51.220409393
22.700000763;-51.220409393
22.75;-51.220409393
22.799999237;-51.220409393
22.850000381;-51.220409393
22.899999619;-51.220409393
22.950000763;-51.220409393
23.0;-51.220409393
23.049999237;-51.220409393
23.100000381;-51.220409393
23.149999619;-51.220409393
23.200000763;-51.220409393
23.25;-51.220409393
23.299999237;-51.220409393
23.350000381;-51.220409393
23.399999619;-51.220409393
23.450000763;-51.220409393
23.5;-51.220409393
23.549999237;-51.220409393
23.600000381;-51.220409393
23.649999619;-51.220409393
23.700000763;-51.220409393
23.75;-51.220409393
23.799999237;-51.220409393
23.850000381;-51.220409393
23.899999619;-51.220409393
23.950000763;-51.220409393
24.0;-51.220409393
24.049999237;-51.220409393
24.100000381;-51.220409393
24.149999619;-51.220409393
24.200000763;-51.220409393
24.25;-51.220409393
24.299999237;-51.220409393
24.350000381;-51.220409393
24.399999619;-51.220409393
24.450000763;-51.220409393
24.5;-51.220409393
24.549999237;-51.220409393
24.600000381;-51.220409393
24.649999619;-51.220409393
24.700000763;-51.220409393
24.75;-51.220409393
24.799999237;-51.220409393
24.850000381;-51.220409393
24.899999619;-51.220409393
24.950000763;-51.220409393
25.0;-51.220409393
25.049999237;-51.220409393
25.100000381;-51.220409393
25.149999619;-51.220409393
25.200000763;-51.220409393
25.25;-51.220409393
25.299999237;-51.220409393
25.350000381;-51.220409393
25.399999619;-51.220409393
25.450000763;-51.220409393
25.5;-51.220409393
25.549999237;-51.220409393
25.600000381;-51.220409393
25.649999619;-51.220409393
25.700000763;-51.220409393
25.75;-51.220409393
25.799999237;-51.220409393
25.850000381;-51.220409393
25.899999619;-51.220409393
25.950000763;-51.220409393
26.0;-51.220409393
26.049999237;-51.220409393
26.100000381;-51.220409393
26.149999619;-51.220409393
26.200000763;-51.220409393
26.25;-51.220409393
26.299999237;-51.220409393
26.350000381;-51.220409393
26.399999619;-51.220409393
26.450000763;-51.220409393
26.5;-51.220409393
26.549999237;-51.220409393
26.600000381;-51.220409393
26.649999619;-51.220409393
26.700000763;-51.220409393
26.75;-51.220409393
26.799999237;-51.220409393
26.850000381;-51.220409393
26.899999619;-51.220409393
26.950000763;-51.220409393
27.0;-51.220409393
27.049999237;-51.220409393
27.100000381;-51.220409393
27.149999619;-51.220409393
27.200000763;-51.220409393
27.25;-51.220409393
27.299999237;-51.220409393
27.350000381;-51.220409393
27.399999619;-51.220409393
27.450000763;-51.220409393
27.5;-51.220409393
27.549999237;-51.220409393
27.600000381;-51.220409393
27.649999619;-51.220409393
27.700000763;-51.220409393
27.75;-51.220409393
27.799999237;-51.220409393
27.850000381;-51.220409393
27.899999619;-51.220409393
27.950000763;-51.220409393
28.0;-51.220409393
28.049999237;-51.220409393
28.100000381;-51.220409393
28.149999619;-51.220409393
28.200000763;-51.220409393
28.25;-51.220409393
28.299999237;-51.220409393
28.350000381;-51.220409393
28.399999619;-51.220409393
28.450000763;-51.220409393
28.5;-51.220409393
28.549999237;-51.220409393
28.600000381;-51.220409393
28.649999619;-51.220409393
28.700000763;-51.220409393
28.75;-51.220409393
28.799999237;-51.220409393
