Time [s];Bending-angle [radiant]
50.599498749;0.86749887466
50.649501801;0.86839133501
50.699501038;0.86928385496
50.749500275;0.87017637491
50.799499512;0.87106883526
50.849498749;0.87196135521
50.899501801;0.87285387516
50.949501038;0.87374633551
50.999500275;0.87463885546
51.049499512;0.8755313158
51.099498749;0.87642383575
51.149501801;0.87731635571
51.199501038;0.87820881605
51.249500275;0.879101336
51.299499512;0.87999385595
51.349498749;0.8808863163
51.399501801;0.88177883625
51.449501038;0.8826713562
51.499500275;0.88356381655
51.549499512;0.8844563365
51.599498749;0.88534879684
51.649501801;0.8862413168
51.699501038;0.88713383675
51.749500275;0.88802629709
51.799499512;0.88891881704
51.849498749;0.88981133699
51.899501801;0.89070379734
51.949501038;0.89159631729
51.999500275;0.89248877764
52.049499512;0.89338129759
52.099498749;0.89427381754
52.149501801;0.89516627789
52.199501038;0.89605879784
52.249500275;0.89695131779
52.299499512;0.89784377813
52.349498749;0.89873629808
52.399501801;0.89962875843
52.449501038;0.90052127838
52.499500275;0.90141379833
52.549499512;0.90230625868
52.599498749;0.90319877863
52.649501801;0.90409129858
52.699501038;0.90498375893
52.749500275;0.90587627888
52.799499512;0.90676873922
52.849498749;0.90766125917
52.899501801;0.90855377913
52.949501038;0.90944623947
52.999500275;0.91033875942
53.049499512;0.91123127937
53.099498749;0.91212373972
53.149501801;0.91301625967
53.199501038;0.91390872002
53.249500275;0.91480123997
53.299499512;0.91569375992
53.349498749;0.91658622026
53.399501801;0.91747874022
53.449501038;0.91837126017
53.499500275;0.91926372051
53.549499512;0.92015624046
53.599498749;0.92104870081
53.649501801;0.92194122076
53.699501038;0.92283374071
53.749500275;0.92372620106
53.799499512;0.92461872101
53.849498749;0.92551124096
53.899501801;0.92640370131
53.949501038;0.92729622126
53.999500275;0.9281886816
54.049499512;0.92908120155
54.099498749;0.9299737215
54.149501801;0.93086618185
54.199501038;0.9317587018
54.249500275;0.93265122175
54.299499512;0.9335436821
54.349498749;0.93443620205
54.399501801;0.935328722
54.449501038;0.93622118235
54.499500275;0.9371137023
54.549499512;0.93800616264
54.599498749;0.93889868259
54.649501801;0.93979120255
54.699501038;0.94068366289
54.749500275;0.94157618284
54.799499512;0.94246870279
54.849498749;0.94336116314
54.899501801;0.94425368309
54.949501038;0.94514614344
54.999500275;0.94603866339
55.049499512;0.94693118334
55.099498749;0.94782364368
55.149501801;0.94871616364
55.199501038;0.94960868359
55.249500275;0.95050114393
55.299499512;0.95139366388
55.349498749;0.95228612423
55.399501801;0.95317864418
55.449501038;0.95407116413
55.499500275;0.95496362448
55.549499512;0.95585614443
55.599498749;0.95674866438
55.649501801;0.95764112473
55.699501038;0.95853364468
55.749500275;0.95942610502
55.799499512;0.96031862497
55.849498749;0.96121114492
55.899501801;0.96210360527
55.949501038;0.96299612522
55.999500275;0.96388864517
56.049499512;0.96478110552
56.099498749;0.96567362547
56.149501801;0.96656608582
56.199501038;0.96745860577
56.249500275;0.96835112572
56.299499512;0.96924358606
56.349498749;0.97013610601
56.399501801;0.97102862597
56.449501038;0.97192108631
56.499500275;0.97281360626
56.549499512;0.97370606661
56.599498749;0.97459858656
56.649501801;0.97549110651
56.699501038;0.97638356686
56.749500275;0.97727608681
56.799499512;0.97816860676
56.849498749;0.9790610671
56.899501801;0.97995358706
56.949501038;0.98084610701
56.999500275;0.98173856735
57.049499512;0.9826310873
57.099498749;0.98352354765
57.149501801;0.9844160676
57.199501038;0.98530858755
57.249500275;0.9862010479
57.299499512;0.98709356785
57.349498749;0.9879860878
57.399501801;0.98887854815
57.449501038;0.9897710681
57.499500275;0.99066352844
57.549499512;0.99155604839
57.599498749;0.99244856834
57.649501801;0.99334102869
57.699501038;0.99423354864
57.749500275;0.99512606859
57.799499512;0.99601852894
57.849498749;0.99691104889
57.899501801;0.99780350924
57.949501038;0.99869602919
57.999500275;0.99958854914
58.049499512;1.0004810095
58.099498749;1.0013735294
58.149501801;1.0022660494
58.199501038;1.0031585693
58.249500275;1.0040509701
58.299499512;1.00494349
58.349498749;1.00583601
58.399501801;1.0067285299
58.449501038;1.0076210499
58.499500275;1.0085134506
58.549499512;1.0094059706
58.599498749;1.0102984905
58.649501801;1.0111910105
58.699501038;1.0120835304
58.749500275;1.0129760504
58.799499512;1.0138684511
58.849498749;1.0147609711
58.899501801;1.015653491
58.949501038;1.016546011
58.999500275;1.0174385309
59.049499512;1.0183309317
59.099498749;1.0192234516
59.149501801;1.0201159716
59.199501038;1.0210084915
59.249500275;1.0219010115
59.299499512;1.0227934122
59.349498749;1.0236859322
59.399501801;1.0245784521
59.449501038;1.0254709721
59.499500275;1.026363492
59.549499512;1.027256012
59.599498749;1.0281484127
59.649501801;1.0290409327
59.699501038;1.0299334526
59.749500275;1.0308259726
59.799499512;1.0317184925
59.849498749;1.0326108932
59.899501801;1.0335034132
59.949501038;1.0343959332
59.999500275;1.0352884531
60.049499512;1.0361809731
60.099498749;1.037073493
60.149501801;1.0379658937
60.199501038;1.0388584137
60.249500275;1.0397509336
60.299499512;1.0406434536
60.349498749;1.0415359735
60.399501801;1.0424283743
60.449501038;1.0433208942
60.499500275;1.0442134142
60.549499512;1.0451059341
60.599498749;1.0459984541
60.649501801;1.0468908548
60.699501038;1.0477833748
60.749500275;1.0486758947
60.799499512;1.0495684147
60.849498749;1.0504609346
60.899501801;1.0513534546
60.949501038;1.0522458553
60.999500275;1.0531383753
61.049499512;1.0540308952
61.099498749;1.0549234152
61.149501801;1.0558159351
61.199501038;1.0567083359
61.249500275;1.0576008558
61.299499512;1.0584933758
61.349498749;1.0593858957
61.399501801;1.0602784157
61.449501038;1.0611708164
61.499500275;1.0620633364
61.549499512;1.0629558563
61.599498749;1.0638483763
61.649501801;1.0647408962
61.699501038;1.0656334162
61.749500275;1.0665258169
61.799499512;1.0674183369
61.849498749;1.0683108568
61.899501801;1.0692033768
61.949501038;1.0700958967
61.999500275;1.0709882975
62.049499512;1.0718808174
62.099498749;1.0727733374
62.149501801;1.0736658573
62.199501038;1.0745583773
62.249500275;1.075450778
62.299499512;1.076343298
62.349498749;1.0772358179
62.399501801;1.0781283379
62.449501038;1.0790208578
62.499500275;1.0799133778
62.549499512;1.0808057785
62.599498749;1.0816982985
62.649501801;1.0825908184
62.699501038;1.0834833384
62.749500275;1.0843758583
62.799499512;1.085268259
62.849498749;1.086160779
62.899501801;1.087053299
62.949501038;1.0879458189
62.999500275;1.0888383389
63.049499512;1.0897308588
63.099498749;1.0906232595
63.149501801;1.0915157795
63.199501038;1.0924082994
